"x","y","dates"
52.4280867,-21.8682633,2018-12-16
52.4384217,-21.8850667,2018-12-16
52.4461733,-21.8900217,2018-12-16
52.44789,-21.9069083,2018-12-16
52.457185,-21.9105417,2018-12-16
52.4325467,-21.8935367,2018-12-16
52.4058533,-21.9330133,2018-12-16
52.4028817,-21.9343617,2018-12-16
52.3999767,-21.9346933,2018-12-16
52.3969533,-21.9356383,2018-12-16
52.39372,-21.9361483,2018-12-16
52.3908817,-21.937095,2018-12-16
52.3547017,-21.9715117,2018-12-16
52.3401117,-21.9834133,2018-12-16
52.3214133,-21.99988,2018-12-16
51.9815083,-22.2806183,2018-12-16
51.98003,-22.281325,2018-12-16
51.961855,-22.291925,2018-12-17
51.9380383,-22.3126233,2018-12-17
51.91579,-22.3326117,2018-12-17
51.91509,-22.3331167,2018-12-17
51.9137433,-22.33469,2018-12-17
51.8986717,-22.3630017,2018-12-17
51.8377667,-22.360245,2018-12-17
51.780785,-22.3410333,2018-12-17
51.71983,-22.35288,2018-12-17
51.6542333,-22.3676833,2018-12-17
51.6403867,-22.37808,2018-12-17
51.6461267,-22.3743767,2018-12-17
51.644635,-22.3911833,2018-12-17
51.65517,-22.3969167,2018-12-17
51.65471,-22.39706,2018-12-17
51.6521567,-22.4073183,2018-12-17
51.6429267,-22.4102017,2018-12-17
51.640265,-22.410225,2018-12-17
51.6387567,-22.4110183,2018-12-17
51.637435,-22.4117833,2018-12-17
51.636325,-22.4126517,2018-12-17
51.6342717,-22.4141583,2018-12-17
51.6328633,-22.415305,2018-12-17
51.6309767,-22.4163967,2018-12-17
51.62866,-22.4175367,2018-12-17
51.6272083,-22.41866,2018-12-17
51.62565,-22.4196133,2018-12-17
51.62406,-22.420495,2018-12-17
51.62261,-22.4219667,2018-12-17
51.6214867,-22.4227033,2018-12-17
51.6209,-22.4257783,2018-12-17
51.6195,-22.4292,2018-12-17
51.61941,-22.4288283,2018-12-17
51.6167517,-22.4303967,2018-12-17
51.6152033,-22.4317167,2018-12-17
51.6149167,-22.4337267,2018-12-17
51.612535,-22.43404,2018-12-17
51.611265,-22.43519,2018-12-17
51.6100967,-22.4363617,2018-12-17
51.607295,-22.4400883,2018-12-17
51.6062283,-22.4405383,2018-12-17
51.6049183,-22.4414883,2018-12-17
51.6036767,-22.4420183,2018-12-17
51.602495,-22.4431433,2018-12-17
51.600945,-22.4443183,2018-12-17
51.599775,-22.444945,2018-12-17
51.5977267,-22.44524,2018-12-17
51.59661,-22.446975,2018-12-17
51.5697117,-22.4641933,2018-12-17
51.5492033,-22.46963,2018-12-17
51.540745,-22.4689,2018-12-17
51.5378433,-22.47004,2018-12-17
51.5224833,-22.4621833,2018-12-17
51.5209083,-22.4630917,2018-12-17
51.5252483,-22.4420633,2018-12-17
51.523855,-22.4441317,2018-12-17
51.5227817,-22.4453167,2018-12-17
51.51217,-22.4391717,2018-12-17
51.5008067,-22.43453,2018-12-17
51.5072033,-22.44607,2018-12-17
51.5021483,-22.490405,2018-12-17
51.4803033,-22.5235783,2018-12-17
51.4611983,-22.5486683,2018-12-17
51.4776083,-22.5573783,2018-12-17
51.4781817,-22.5609633,2018-12-17
51.47066,-22.5539633,2018-12-17
51.4660967,-22.5546633,2018-12-17
51.4535433,-22.56323,2018-12-17
51.4566067,-22.56857,2018-12-17
51.4437783,-22.5738717,2018-12-17
51.4313517,-22.5833217,2018-12-17
51.4183283,-22.5854317,2018-12-17
51.4068933,-22.5945517,2018-12-17
51.3924933,-22.601895,2018-12-17
51.3811533,-22.5858917,2018-12-17
51.3767533,-22.5766067,2018-12-17
51.3774717,-22.5697,2018-12-17
51.376655,-22.5583183,2018-12-17
51.378545,-22.5468417,2018-12-17
51.371105,-22.5327617,2018-12-17
51.3672933,-22.5166467,2018-12-17
51.3661267,-22.5032817,2018-12-17
51.378575,-22.5017133,2018-12-17
51.37508,-22.5008733,2018-12-17
51.3718267,-22.50186,2018-12-17
51.36903,-22.50312,2018-12-17
51.3664817,-22.503915,2018-12-17
51.3638117,-22.5045017,2018-12-17
51.3610633,-22.5052667,2018-12-17
51.358,-22.505525,2018-12-17
